Cancer Type,Coumarin Type,Coumarin Dose,Time,Viability
6,0,5.0,48,93.33
6,0,10.0,48,94.5
6,0,20.0,48,92.15
6,0,40.0,48,85.88
6,0,80.0,48,65.88
6,0,5.0,72,93.72
6,0,10.0,72,85.88
6,0,20.0,72,83.13
6,0,40.0,72,76.86
6,0,80.0,72,64.31
3,0,16.7,24,99.25
3,0,67.0,24,99.04
3,0,134.0,24,97.71
3,0,33.5,48,96.98
3,0,67.0,48,84.53
3,0,134.0,48,76.37
3,0,67.0,72,87.02
3,0,134.0,72,75.27
0,0,103.8,48,75.0
0,0,207.7,48,49.24
0,0,415.5,48,30.8
0,0,838.0,48,16.16
1,0,2.5,72,86.41
1,0,5.0,72,84.9
1,0,10.0,72,70.18
1,0,20.0,72,56.6
1,0,40.0,72,45.66
1,0,2.5,72,90.94
1,0,5.0,72,86.41
1,0,10.0,72,75.09
1,0,20.0,72,55.09
1,0,40.0,72,28.3
0,0,1.0,48,99.11
0,0,10.0,48,89.91
0,0,50.0,48,70.91
0,0,100.0,48,26.11
3,0,10.0,48,99.7
3,0,20.0,48,100.0
3,0,10.0,72,97.8
3,0,20.0,72,95.7
3,0,40.0,72,79.2
1,0,50.0,24,84.99
1,0,100.0,24,75.42
1,0,12.5,48,80.44
1,0,25.0,48,61.85
1,0,50.0,48,50.7
1,0,100.0,48,38.76
1,0,12.5,72,76.01
1,0,25.0,72,59.12
1,0,50.0,72,46.89
1,0,100.0,72,42.52
0,0,5.0,24,95.75
0,0,10.0,24,96.98
0,0,15.0,24,76.84
0,0,20.0,24,74.79
0,0,25.0,24,65.34
0,0,30.0,24,56.71
0,0,40.0,24,51.78
0,0,50.0,24,51.36
0,0,1.0,24,89.04
0,0,2.0,24,98.87
0,0,10.0,24,68.25
0,0,15.0,24,25.28
0,0,20.0,24,18.82
0,0,25.0,24,15.73
0,0,30.0,24,15.16
0,0,40.0,24,16.57
0,0,50.0,24,17.97
6,0,15.0,24,72.04
6,0,30.0,24,60.21
6,0,60.0,24,56.45
6,0,90.0,24,41.03
6,0,120.0,24,33.15
6,0,15.0,24,87.81
6,0,30.0,24,79.3
6,0,60.0,24,70.34
6,0,90.0,24,62.72
6,0,120.0,24,57.34
6,0,15.0,24,99.68
6,0,30.0,24,80.42
6,0,60.0,24,63.39
6,0,90.0,24,60.48
6,0,120.0,24,43.68
2,0,12.5,48,92.84
2,0,25.0,48,80.73
2,0,50.0,48,48.44
2,0,100.0,48,42.2
2,0,50.0,48,67.88
