Coumarin,Cancer Type,Best Dose,Best Time,Predicted Viability
Auraptene,Prostate,317.0,48.0,50.00298702321294
Auraptene,Leukemia/Lymphoma,281.0,24.0,50.00909433363972
Auraptene,Breast,212.0,48.0,49.990390385706185
Auraptene,Colon,246.0,24.0,50.004895454470805
Auraptene,Gastric,247.0,48.0,49.9945892648751
Auraptene,Lung,282.0,48.0,49.99878814404402
Auraptene,Pancreatic,283.0,72.0,49.98848195444832
Esculetin,Prostate,317.0,48.0,50.00298702321294
Esculetin,Leukemia/Lymphoma,281.0,24.0,50.00909433363972
Esculetin,Breast,212.0,48.0,49.990390385706185
Esculetin,Colon,246.0,24.0,50.004895454470805
Esculetin,Gastric,247.0,48.0,49.9945892648751
Esculetin,Lung,282.0,48.0,49.99878814404402
Esculetin,Pancreatic,283.0,72.0,49.98848195444832
Galbanic Acid,Prostate,317.0,48.0,50.00298702321294
Galbanic Acid,Leukemia/Lymphoma,281.0,24.0,50.00909433363972
Galbanic Acid,Breast,212.0,48.0,49.990390385706185
Galbanic Acid,Colon,246.0,24.0,50.004895454470805
Galbanic Acid,Gastric,247.0,48.0,49.9945892648751
Galbanic Acid,Lung,282.0,48.0,49.99878814404402
Galbanic Acid,Pancreatic,283.0,72.0,49.98848195444832
Umbelliprenin,Prostate,317.0,48.0,50.00298702321294
Umbelliprenin,Leukemia/Lymphoma,281.0,24.0,50.00909433363972
Umbelliprenin,Breast,212.0,48.0,49.990390385706185
Umbelliprenin,Colon,246.0,24.0,50.004895454470805
Umbelliprenin,Gastric,247.0,48.0,49.9945892648751
Umbelliprenin,Lung,282.0,48.0,49.99878814404402
Umbelliprenin,Pancreatic,283.0,72.0,49.98848195444832
