Coumarin,Cancer Type,Best Dose,Best Time,Predicted Viability
Auraptene,Prostate,264.0,48.0,50.30278727195249
Auraptene,Leukemia/Lymphoma,41.0,24.0,50.076038617969985
Auraptene,Breast,286.0,24.0,49.90677767695818
Auraptene,Colon,296.0,48.0,49.93434944250873
Auraptene,Gastric,215.0,72.0,50.10111789970237
Auraptene,Lung,56.0,48.0,49.961024139314034
Auraptene,Pancreatic,87.0,24.0,50.13894876871485
Esculetin,Prostate,92.0,72.0,49.86145394780631
Esculetin,Leukemia/Lymphoma,214.0,24.0,50.0171469418139
Esculetin,Breast,127.0,48.0,50.02429783741757
Esculetin,Colon,80.0,24.0,49.66944909775568
Esculetin,Gastric,161.0,24.0,50.11873970553441
Esculetin,Lung,68.0,72.0,50.018834314481424
Esculetin,Pancreatic,215.0,48.0,49.86842498134356
Galbanic Acid,Prostate,96.0,48.0,50.08345835499984
Galbanic Acid,Leukemia/Lymphoma,210.0,24.0,48.99673249121344
Galbanic Acid,Breast,189.0,48.0,49.95730534698667
Galbanic Acid,Colon,222.0,48.0,50.00155233795258
Galbanic Acid,Gastric,273.0,48.0,50.15563991173992
Galbanic Acid,Lung,106.0,72.0,49.99047468790266
Galbanic Acid,Pancreatic,261.0,24.0,49.844708306842016
Umbelliprenin,Prostate,114.0,24.0,50.06379088254263
Umbelliprenin,Leukemia/Lymphoma,96.0,72.0,47.968750530865954
Umbelliprenin,Breast,204.0,24.0,50.06455776382502
Umbelliprenin,Colon,110.0,72.0,50.00967097776857
Umbelliprenin,Gastric,112.0,48.0,49.995303489281014
Umbelliprenin,Lung,106.0,72.0,50.20742592507406
Umbelliprenin,Pancreatic,206.0,24.0,49.89444946834699
