Cancer Type,Coumarin,Time (h),Dose Ranges for Viability 50±2
Colon,Esculetin,24,80.0-81.0; 146.0-153.0
Colon,Esculetin,48,167.0-169.0; 72.0-76.0
Colon,Esculetin,72,239.0-242.0; 102.0-104.0
Colon,Auraptene,24,41.0-45.0; 80.0-81.0
Colon,Auraptene,48,189.0-199.0; 265.0-271.0
Colon,Auraptene,72,239.0-242.0; 29.0-31.0
Colon,Umbelliprenin,24,118.0-124.0; 233.0-242.0
Colon,Umbelliprenin,48,118.0-128.0; 134.0-136.0
Colon,Umbelliprenin,72,41.0-45.0; 82.0-86.0
Colon,Galbanic Acid,24,251.0-261.0; 161.0-166.0
Colon,Galbanic Acid,48,222.0-227.0; 46.0-52.0
Colon,Galbanic Acid,72,107.0-109.0; 126.0-129.0
