Coumarin,Cancer Type,Best Dose,Best Time,Predicted Viability
Auraptene,Prostate,123.0,72.0,49.98872969855835
Auraptene,Leukemia/Lymphoma,204.0,72.0,50.01841938691792
Auraptene,Breast,53.0,72.0,49.98708378841492
Auraptene,Colon,233.0,72.0,49.96739024801438
Auraptene,Gastric,154.0,24.0,49.957263845995556
Auraptene,Lung,228.0,48.0,49.80260306001534
Auraptene,Pancreatic,87.0,72.0,49.89713502354906
Esculetin,Prostate,123.0,48.0,50.193950492059564
Esculetin,Leukemia/Lymphoma,251.0,48.0,50.313369792751374
Esculetin,Breast,126.0,24.0,50.209844938426066
Esculetin,Colon,72.0,48.0,49.81792463892082
Esculetin,Gastric,53.0,72.0,49.958326829908415
Esculetin,Lung,56.0,24.0,49.96969556636767
Esculetin,Pancreatic,72.0,72.0,50.105442535183414
Galbanic Acid,Prostate,204.0,72.0,50.27360702627888
Galbanic Acid,Leukemia/Lymphoma,96.0,48.0,50.66037455999059
Galbanic Acid,Breast,154.0,24.0,49.236219996341724
Galbanic Acid,Colon,72.0,72.0,50.27025555409229
Galbanic Acid,Gastric,273.0,24.0,50.13461838410884
Galbanic Acid,Lung,23.0,72.0,50.06853171160727
Galbanic Acid,Pancreatic,102.0,48.0,49.24624803045922
Umbelliprenin,Prostate,219.0,24.0,50.04281839222295
Umbelliprenin,Leukemia/Lymphoma,96.0,48.0,50.8493087018582
Umbelliprenin,Breast,154.0,24.0,49.95888353518545
Umbelliprenin,Colon,141.0,24.0,49.903095655627126
Umbelliprenin,Gastric,110.0,72.0,50.10546029738225
Umbelliprenin,Lung,96.0,24.0,50.01386321457523
Umbelliprenin,Pancreatic,167.0,24.0,49.51313208426493
