Coumarin,Cancer Type,Best Dose,Best Time,Predicted Viability
Auraptene,Prostate,334.0,24.0,50.002312893412906
Auraptene,Leukemia/Lymphoma,281.0,24.0,50.007833569757565
Auraptene,Breast,195.0,72.0,49.99449345351782
Auraptene,Colon,246.0,24.0,49.98457146795444
Auraptene,Gastric,247.0,48.0,49.9867721225638
Auraptene,Lung,282.0,48.0,50.010034224366926
Auraptene,Pancreatic,283.0,72.0,50.01223487897629
Esculetin,Prostate,334.0,24.0,50.002312893412906
Esculetin,Leukemia/Lymphoma,281.0,24.0,50.007833569757565
Esculetin,Breast,195.0,72.0,49.99449345351782
Esculetin,Colon,246.0,24.0,49.98457146795444
Esculetin,Gastric,247.0,48.0,49.9867721225638
Esculetin,Lung,282.0,48.0,50.010034224366926
Esculetin,Pancreatic,283.0,72.0,50.01223487897629
Galbanic Acid,Prostate,334.0,24.0,50.002312893412906
Galbanic Acid,Leukemia/Lymphoma,281.0,24.0,50.007833569757565
Galbanic Acid,Breast,195.0,72.0,49.99449345351782
Galbanic Acid,Colon,246.0,24.0,49.98457146795444
Galbanic Acid,Gastric,247.0,48.0,49.9867721225638
Galbanic Acid,Lung,282.0,48.0,50.010034224366926
Galbanic Acid,Pancreatic,283.0,72.0,50.01223487897629
Umbelliprenin,Prostate,334.0,24.0,50.002312893412906
Umbelliprenin,Leukemia/Lymphoma,281.0,24.0,50.007833569757565
Umbelliprenin,Breast,195.0,72.0,49.99449345351782
Umbelliprenin,Colon,246.0,24.0,49.98457146795444
Umbelliprenin,Gastric,247.0,48.0,49.9867721225638
Umbelliprenin,Lung,282.0,48.0,50.010034224366926
Umbelliprenin,Pancreatic,283.0,72.0,50.01223487897629
