Cancer Type,Coumarin,Time (h),Dose Ranges for Viability 50±2
Colon,Esculetin,24,244.0-254.0; 233.0-243.0
Colon,Esculetin,48,227.0-237.0; 216.0-226.0
Colon,Esculetin,72,210.0-220.0; 199.0-209.0
Colon,Auraptene,24,244.0-254.0; 233.0-243.0
Colon,Auraptene,48,227.0-237.0; 216.0-226.0
Colon,Auraptene,72,210.0-220.0; 199.0-209.0
Colon,Umbelliprenin,24,244.0-254.0; 233.0-243.0
Colon,Umbelliprenin,48,227.0-237.0; 216.0-226.0
Colon,Umbelliprenin,72,210.0-220.0; 199.0-209.0
Colon,Galbanic Acid,24,244.0-254.0; 233.0-243.0
Colon,Galbanic Acid,48,227.0-237.0; 216.0-226.0
Colon,Galbanic Acid,72,210.0-220.0; 199.0-209.0
