Coumarin,Cancer Type,Best Dose,Best Time,Predicted Viability
Auraptene,Prostate,105.0,24.0,50.356005504738675
Auraptene,Leukemia/Lymphoma,281.0,48.0,50.01563176541065
Auraptene,Breast,66.0,72.0,50.00843762640622
Auraptene,Colon,139.0,72.0,50.10989706612459
Auraptene,Gastric,111.0,72.0,49.99649995819173
Auraptene,Lung,185.0,48.0,49.98731729831196
Auraptene,Pancreatic,117.0,48.0,50.00129095784558
Esculetin,Prostate,143.0,72.0,50.08168108064095
Esculetin,Leukemia/Lymphoma,115.0,72.0,50.00300892044037
Esculetin,Breast,52.0,72.0,49.994364233363086
Esculetin,Colon,296.0,48.0,50.11209064552479
Esculetin,Gastric,191.0,48.0,49.92051154188393
Esculetin,Lung,67.0,72.0,50.034943013557196
Esculetin,Pancreatic,57.0,72.0,49.504746593956234
Galbanic Acid,Prostate,105.0,72.0,50.02372905068965
Galbanic Acid,Leukemia/Lymphoma,102.0,72.0,49.86489226304581
Galbanic Acid,Breast,233.0,24.0,50.00855334590888
Galbanic Acid,Colon,251.0,24.0,49.870974786153035
Galbanic Acid,Gastric,207.0,24.0,50.00590933820276
Galbanic Acid,Lung,72.0,72.0,50.03061477152648
Galbanic Acid,Pancreatic,219.0,24.0,50.061675798686835
Umbelliprenin,Prostate,112.0,72.0,49.79072705816708
Umbelliprenin,Leukemia/Lymphoma,46.0,48.0,50.05092820933358
Umbelliprenin,Breast,118.0,72.0,50.00590357304678
Umbelliprenin,Colon,110.0,48.0,49.949136860073494
Umbelliprenin,Gastric,58.0,24.0,49.996799469030194
Umbelliprenin,Lung,82.0,48.0,50.06731569094119
Umbelliprenin,Pancreatic,123.0,72.0,50.14020732823414
