Cancer Type,Coumarin,Time (h),Dose Ranges for Viability 50±2
Colon,Esculetin,24,80.0-90.0; 102.0-104.0
Colon,Esculetin,48,286.0-296.0; 297.0-306.0
Colon,Esculetin,72,46.0-53.0; 62.0-63.0
Colon,Auraptene,24,320.0-330.0; 375.0-385.0
Colon,Auraptene,48,265.0-275.0; 102.0-104.0
Colon,Auraptene,72,139.0-145.0; 53.0-63.0
Colon,Umbelliprenin,24,123.0-125.0
Colon,Umbelliprenin,48,85.0-89.0; 110.0-120.0
Colon,Umbelliprenin,72,80.0-81.0
Colon,Galbanic Acid,24,257.0-261.0; 246.0-256.0
Colon,Galbanic Acid,48,277.0-280.0; 273.0-273.0
Colon,Galbanic Acid,72,75.0-79.0; 41.0-41.0
