Coumarin,Cancer Type,Best Dose,Best Time,Predicted Viability
Auraptene,Prostate,294.0,72.0,50.002243223351215
Auraptene,Leukemia/Lymphoma,247.0,72.0,50.00331205691595
Auraptene,Breast,200.0,72.0,50.00438089048068
Auraptene,Colon,249.0,24.0,50.015230614139384
Auraptene,Gastric,248.0,48.0,50.00927133552767
Auraptene,Lung,296.0,24.0,50.01416178057465
Auraptene,Pancreatic,295.0,48.0,50.00820250196294
Esculetin,Prostate,311.0,48.0,50.003933009981964
Esculetin,Leukemia/Lymphoma,264.0,48.0,50.005001843546694
Esculetin,Breast,217.0,48.0,50.006070677111424
Esculetin,Colon,216.0,72.0,50.00011139849971
Esculetin,Gastric,265.0,24.0,50.01096112215841
Esculetin,Lung,263.0,72.0,49.99904256493498
Esculetin,Pancreatic,312.0,24.0,50.00989228859368
Galbanic Acid,Prostate,328.0,24.0,50.00562279661271
Galbanic Acid,Leukemia/Lymphoma,281.0,24.0,50.00669163017744
Galbanic Acid,Breast,234.0,24.0,50.00776046374217
Galbanic Acid,Colon,233.0,48.0,50.00180118513046
Galbanic Acid,Gastric,232.0,72.0,49.995841906518734
Galbanic Acid,Lung,280.0,48.0,50.00073235156572
Galbanic Acid,Pancreatic,279.0,72.0,49.994773072954004
Umbelliprenin,Prostate,295.0,72.0,49.99050358097303
Umbelliprenin,Leukemia/Lymphoma,248.0,72.0,49.99157241453776
Umbelliprenin,Breast,201.0,72.0,49.992641248102494
Umbelliprenin,Colon,250.0,24.0,50.0034909717612
Umbelliprenin,Gastric,249.0,48.0,49.99753169314948
Umbelliprenin,Lung,297.0,24.0,50.00242213819647
Umbelliprenin,Pancreatic,296.0,48.0,49.99646285958475
