Coumarin,Cancer Type,Best Dose,Best Time,Predicted Viability
Auraptene,Prostate,203.0,48.0,49.98818996817227
Auraptene,Leukemia/Lymphoma,147.0,48.0,50.013556736448194
Auraptene,Breast,300.0,24.0,49.97697247892771
Auraptene,Colon,307.0,24.0,50.00613043928843
Auraptene,Gastric,50.0,48.0,50.02772171121504
Auraptene,Lung,46.0,48.0,49.98280271984828
Auraptene,Pancreatic,348.0,48.0,50.02711764960813
Esculetin,Prostate,106.0,48.0,50.07038165698244
Esculetin,Leukemia/Lymphoma,200.0,24.0,50.018943650927845
Esculetin,Breast,134.0,24.0,49.99385857040197
Esculetin,Colon,349.0,48.0,49.983200784719344
Esculetin,Gastric,259.0,72.0,49.987364612454286
Esculetin,Lung,244.0,48.0,49.993639525249876
Esculetin,Pancreatic,348.0,48.0,50.02831005690352
Galbanic Acid,Prostate,190.0,24.0,49.98629415315343
Galbanic Acid,Leukemia/Lymphoma,142.0,72.0,49.950552509294596
Galbanic Acid,Breast,256.0,24.0,50.02623828705889
Galbanic Acid,Colon,256.0,24.0,50.0035100796046
Galbanic Acid,Gastric,256.0,24.0,49.95251353835023
Galbanic Acid,Lung,244.0,48.0,49.987825218672484
Galbanic Acid,Pancreatic,348.0,48.0,49.99990863321181
Umbelliprenin,Prostate,111.0,48.0,50.01312349571357
Umbelliprenin,Leukemia/Lymphoma,341.0,48.0,50.02852977564072
Umbelliprenin,Breast,107.0,72.0,49.983888288519424
Umbelliprenin,Colon,256.0,24.0,50.01262133329352
Umbelliprenin,Gastric,256.0,24.0,49.96129099586995
Umbelliprenin,Lung,147.0,48.0,49.99007040455772
Umbelliprenin,Pancreatic,348.0,48.0,49.9435895952896
